Sample ID,Study,Project ID,Condition ID,Replicate #,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,ALEdb sample,Additional Details,Biological Replicates,Alignment,DOI,GEO
control__wt_glc__1,Control,control,wt_glc,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,MiSeq,,,2,94.33,doi.org/10.1101/080929,GSE65643
control__wt_glc__2,Control,control,wt_glc,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,MiSeq,,,2,94.24,doi.org/10.1101/080929,GSE65643
fur__wt_dpd__1,Fur,fur,wt_dpd,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,,Batch,0,No,,MiSeq,,,2,98.04,doi.org/10.1038/ncomms5910,GSE54900
fur__wt_dpd__2,Fur,fur,wt_dpd,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,,Batch,0,No,,MiSeq,,,2,98.3,doi.org/10.1038/ncomms5910,GSE54900
fur__wt_fe__1,Fur,fur,wt_fe,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,,Batch,1.06,No,,MiSeq,,,2,93.35,doi.org/10.1038/ncomms5910,GSE54900
fur__wt_fe__2,Fur,fur,wt_fe,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,,Batch,1.06,No,,MiSeq,,,2,92.38,doi.org/10.1038/ncomms5910,GSE54900
fur__delfur_dpd__1,Fur,fur,delfur_dpd,1,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.07,doi.org/10.1038/ncomms5910,GSE54900
fur__delfur_dpd__2,Fur,fur,delfur_dpd,2,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.31,doi.org/10.1038/ncomms5910,GSE54900
fur__delfur_fe2__1,Fur,fur,delfur_fe2,1,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,Kanamycin,Batch,0.62,No,,MiSeq,,,2,92.8,doi.org/10.1038/ncomms5910,GSE54900
fur__delfur_fe2__2,Fur,fur,delfur_fe2,2,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,Kanamycin,Batch,0.62,No,,MiSeq,,,2,93.24,doi.org/10.1038/ncomms5910,GSE54900
acid__wt_ph5__1,Acid,acid,wt_ph5,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,,Batch,,No,,MiSeq,,,2,97.99,doi.org/10.1038/ncomms8970,GSE66482
acid__wt_ph5__2,Acid,acid,wt_ph5,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,,Batch,,No,,MiSeq,,,2,98.37,doi.org/10.1038/ncomms8970,GSE66482
acid__delgadx_ph5__1,Acid,acid,delgadx_ph5,1,Escherichia coli K-12 MG1655 del_gadX,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin,Batch,,No,,MiSeq,,,2,46.76,doi.org/10.1038/ncomms8970,GSE66482
acid__delgadx_ph5__2,Acid,acid,delgadx_ph5,2,Escherichia coli K-12 MG1655 del_gadX,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin,Batch,,No,,MiSeq,,,2,78.31,doi.org/10.1038/ncomms8970,GSE66482
acid__delgadw_ph5__1,Acid,acid,delgadw_ph5,1,Escherichia coli K-12 MG1655 del_gadW,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin,Batch,,No,,MiSeq,,,2,97.77,doi.org/10.1038/ncomms8970,GSE66482
acid__delgadw_ph5__2,Acid,acid,delgadw_ph5,2,Escherichia coli K-12 MG1655 del_gadW,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin,Batch,,No,,MiSeq,,,2,97.8,doi.org/10.1038/ncomms8970,GSE66482
acid__delgade_ph5__1,Acid,acid,delgade_ph5,1,Escherichia coli K-12 MG1655 del_gadE,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin,Batch,,No,,MiSeq,,,2,97.82,doi.org/10.1038/ncomms8970,GSE66482
acid__delgade_ph5__2,Acid,acid,delgade_ph5,2,Escherichia coli K-12 MG1655 del_gadE,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin,Batch,,No,,MiSeq,,,2,98,doi.org/10.1038/ncomms8970,GSE66482
oxidative__wt_pq__1,Oxidative,oxidative,wt_pq,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,,Batch,0,No,,MiSeq,,,2,98.7,doi.org/10.1016/j.celrep.2015.07.043,GSE65711
oxidative__wt_pq__2,Oxidative,oxidative,wt_pq,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,,Batch,0,No,,MiSeq,,,2,98.51,doi.org/10.1016/j.celrep.2015.07.043,GSE65711
oxidative__deloxyr_pq__1,Oxidative,oxidative,deloxyr_pq,1,Escherichia coli K-12 MG1655 del_oxyR,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.06,doi.org/10.1016/j.celrep.2015.07.043,GSE65711
oxidative__deloxyr_pq__2,Oxidative,oxidative,deloxyr_pq,2,Escherichia coli K-12 MG1655 del_oxyR,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,97.8,doi.org/10.1016/j.celrep.2015.07.043,GSE65711
oxidative__delsoxr_pq__1,Oxidative,oxidative,delsoxr_pq,1,Escherichia coli K-12 MG1655 del_soxR,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.33,doi.org/10.1016/j.celrep.2015.07.043,GSE65711
oxidative__delsoxr_pq__2,Oxidative,oxidative,delsoxr_pq,2,Escherichia coli K-12 MG1655 del_soxR,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.41,doi.org/10.1016/j.celrep.2015.07.043,GSE65711
oxidative__delsoxs_pq__1,Oxidative,oxidative,delsoxs_pq,1,Escherichia coli K-12 MG1655 del_soxS,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,97.3,doi.org/10.1016/j.celrep.2015.07.043,GSE65711
oxidative__delsoxs_pq__2,Oxidative,oxidative,delsoxs_pq,2,Escherichia coli K-12 MG1655 del_soxS,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,97.07,doi.org/10.1016/j.celrep.2015.07.043,GSE65711
nac_ntrc__wt_csn__1,Nac/NtrC,nac_ntrc,wt_csn,1,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),cytosine(2),O2,,,37,7,,Batch,,No,,MiSeq,,,2,93.29,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__wt_csn__2,Nac/NtrC,nac_ntrc,wt_csn,2,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),cytosine(2),O2,,,37,7,,Batch,,No,,MiSeq,,,2,96.3,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__wt_cytd__1,Nac/NtrC,nac_ntrc,wt_cytd,1,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),cytidine(2),O2,,,37,7,,Batch,,No,,MiSeq,,,2,93.16,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__wt_cytd__2,Nac/NtrC,nac_ntrc,wt_cytd,2,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),cytidine(2),O2,,,37,7,,Batch,,No,,MiSeq,,,2,92.52,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__wt_gln__1,Nac/NtrC,nac_ntrc,wt_gln,1,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),glutamine(2),O2,,,37,7,,Batch,,No,,MiSeq,,,2,95.86,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__wt_gln__2,Nac/NtrC,nac_ntrc,wt_gln,2,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),glutamine(2),O2,,,37,7,,Batch,,No,,MiSeq,,,2,94.27,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__bw_delnac_csn__1,Nac/NtrC,nac_ntrc,bw_delnac_csn,1,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),cytosine(2),O2,,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,97.37,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__bw_delnac_csn__2,Nac/NtrC,nac_ntrc,bw_delnac_csn,2,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),cytosine(2),O2,,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98.11,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__bw_delnac_cytd__1,Nac/NtrC,nac_ntrc,bw_delnac_cytd,1,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),cytidine(2),O2,,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__bw_delnac_cytd__2,Nac/NtrC,nac_ntrc,bw_delnac_cytd,2,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),cytidine(2),O2,,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,97.74,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__bw_delnac_gln__1,Nac/NtrC,nac_ntrc,bw_delnac_gln,1,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),glutamine(2),O2,,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,97.28,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__bw_delnac_gln__2,Nac/NtrC,nac_ntrc,bw_delnac_gln,2,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),glutamine(2),O2,,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,97.17,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__bw_delnac_nh4__1,Nac/NtrC,nac_ntrc,bw_delnac_nh4,1,Escherichia coli K-12 BW25113 del_nac,BW25113,M9,glucose(2),NH4Cl(1),O2,,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98.03,From dissertation: https://escholarship.org/uc/item/0k4709x6,
nac_ntrc__bw_delnac_nh4__2,Nac/NtrC,nac_ntrc,bw_delnac_nh4,2,Escherichia coli K-12 BW25113 del_nac,BW25113,M9,glucose(2),NH4Cl(1),O2,,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,97.93,From dissertation: https://escholarship.org/uc/item/0k4709x6,
misc__wt_no_te__1,Misc,misc,wt_no_te,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,No,,MiSeq,,,2,98.3,,GSE122211
misc__wt_no_te__2,Misc,misc,wt_no_te,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,No,,MiSeq,,,2,98.23,,GSE122211
misc__bw_delcbl__1,Misc,misc,bw_delcbl,1,Escherichia coli K-12 BW25113 del_cbl,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98.7,,GSE122211
misc__bw_delcbl__2,Misc,misc,bw_delcbl,2,Escherichia coli K-12 BW25113 del_cbl,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98.6,,GSE122211
misc__bw_delfabr__1,Misc,misc,bw_delfabr,1,Escherichia coli K-12 BW25113 del_fabR,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98.5,,GSE122211
misc__bw_delfabr__2,Misc,misc,bw_delfabr,2,Escherichia coli K-12 BW25113 del_fabR,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98.42,,GSE122211
misc__bw_delfadr__1,Misc,misc,bw_delfadr,1,Escherichia coli K-12 BW25113 del_fadR,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98.4,,GSE122211
misc__bw_delfadr__2,Misc,misc,bw_delfadr,2,Escherichia coli K-12 BW25113 del_fadR,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,No,,MiSeq,,,2,98.36,,GSE122211
misc__nitr_031__1,Misc,misc,nitr_031,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(10mM),O2,sauer trace element mixture,,37,7,,Chemostat,,No,,MiSeq,,chemostat w/ dilution rate 0.31 h^-1,1,96.86,,GSE72020
omics__wt_glu__1,Omics,omics,wt_glu,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glutamate (10mM),37,7,,Batch,,No,,MiSeq,,,2,96.92,,GSE122211
omics__wt_glu__2,Omics,omics,wt_glu,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glutamate (10mM),37,7,,Batch,,No,,MiSeq,,,2,97.88,,GSE122211
omics__wt_gly__1,Omics,omics,wt_gly,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glycine (10mM),37,7,,Batch,,No,,MiSeq,,,2,91.98,doi.org/10.1038/ncomms13091,GSE59760
omics__wt_gly__2,Omics,omics,wt_gly,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glycine (10mM),37,7,,Batch,,No,,MiSeq,,,2,82.97,doi.org/10.1038/ncomms13091,GSE59760
omics__wt_thr__1,Omics,omics,wt_thr,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,threonine (10mM),37,7,,Batch,,No,,MiSeq,,,2,97.65,doi.org/10.1038/ncomms13091,GSE59760
omics__wt_thr__2,Omics,omics,wt_thr,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,threonine (10mM),37,7,,Batch,,No,,MiSeq,,,2,92.68,doi.org/10.1038/ncomms13091,GSE59760
omics__bw_ac__1,Omics,omics,bw_ac,1,Escherichia coli BW25113,BW25113,M9,acetate(3.5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.2,No,,MiSeq,,,2,97.8,doi.org/10.1038/ncomms13091,GSE59759
omics__bw_ac__2,Omics,omics,bw_ac,2,Escherichia coli BW25113,BW25113,M9,acetate(3.5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.2,No,,MiSeq,,,2,98.04,doi.org/10.1038/ncomms13091,GSE59759
omics__bw_fum__1,Omics,omics,bw_fum,1,Escherichia coli BW25113,BW25113,M9,fumarate(2.8),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.31,No,,MiSeq,,,2,97.94,doi.org/10.1038/ncomms13091,GSE59759
omics__bw_fum__2,Omics,omics,bw_fum,2,Escherichia coli BW25113,BW25113,M9,fumarate(2.8),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.31,No,,MiSeq,,,2,98.32,doi.org/10.1038/ncomms13091,GSE59759
omics__bw_glc__1,Omics,omics,bw_glc,1,Escherichia coli BW25113,BW25113,M9,glucose(5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.61,No,,MiSeq,,,2,97.62,doi.org/10.1038/ncomms13091,GSE59759
omics__bw_glc__2,Omics,omics,bw_glc,2,Escherichia coli BW25113,BW25113,M9,glucose(5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.61,No,,MiSeq,,,2,98.13,doi.org/10.1038/ncomms13091,GSE59759
omics__bw_pyr__1,Omics,omics,bw_pyr,1,Escherichia coli BW25113,BW25113,M9,pyruvate(3.3),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.37,No,,MiSeq,,,2,97.36,doi.org/10.1038/ncomms13091,GSE59759
omics__bw_pyr__2,Omics,omics,bw_pyr,2,Escherichia coli BW25113,BW25113,M9,pyruvate(3.3),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.37,No,,MiSeq,,,2,97.59,doi.org/10.1038/ncomms13091,GSE59759
ompr__wt_nacl__1,OmpR,ompr,wt_nacl,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,NaCl (0.3M),37,7,,Batch,0,No,,MiSeq,,,2,97.81,doi.org/10.1038/s41598-017-02110-7,GSE88980
ompr__wt_nacl__2,OmpR,ompr,wt_nacl,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,NaCl (0.3M),37,7,,Batch,0,No,,MiSeq,,,2,98.81,doi.org/10.1038/s41598-017-02110-7,GSE88980
ompr__bw_delompr_nacl__1,OmpR,ompr,bw_delompr_nacl,1,Escherichia coli K-12 BW25113 del_ompR,MG1655,M9,glucose(2),NH4Cl(1),O2,,NaCl (0.3M),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.56,doi.org/10.1038/s41598-017-02110-7,GSE88980
ompr__bw_delompr_nacl__2,OmpR,ompr,bw_delompr_nacl,2,Escherichia coli K-12 BW25113 del_ompR,MG1655,M9,glucose(2),NH4Cl(1),O2,,NaCl (0.3M),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.6,doi.org/10.1038/s41598-017-02110-7,GSE88980
minspan__wt_ade__1,MinSpan,minspan,wt_ade,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,adenine (10mM),37,7,,Batch,,No,,GAIIX,,,1,78.38,doi.org/10.15252/msb.20145243,GSE48324
minspan__wt_glc__1,MinSpan,minspan,wt_glc,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,,4,91.85,doi.org/10.15252/msb.20145243,GSE48324
minspan__wt_glc__2,MinSpan,minspan,wt_glc,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,,4,91.7,doi.org/10.15252/msb.20145243,GSE48324
minspan__wt_glc__3,MinSpan,minspan,wt_glc,3,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,,4,92.12,doi.org/10.15252/msb.20145243,GSE48324
minspan__wt_glc__4,MinSpan,minspan,wt_glc,4,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,MiSeq,,,4,94.58,,GSE122211
minspan__wt_glc_anaero__1,MinSpan,minspan,wt_glc_anaero,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,,2,83.01,doi.org/10.15252/msb.20145243,GSE48324
minspan__wt_glc_anaero__2,MinSpan,minspan,wt_glc_anaero,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,,2,72.08,doi.org/10.15252/msb.20145243,GSE48324
minspan__wt_trp__1,MinSpan,minspan,wt_trp,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,L-tryptophan (20mg/L),37,7,,Batch,,No,,GAIIX,,,1,78.6,doi.org/10.15252/msb.20145243,GSE48324
